"S.No.","is_soft_skill","is_behavioral_skill","synon_skill","skill_cluster","skill_description","skill_keyword","skill_type","digital_product"
"1919","False","False","Conceptual Design","Product Design","Conceptual Design is a design process, in which the broad outlines of function and form of something are articulated","conceptual design;concept design","",""
"1920","False","False","Data Validation","Data Engineering And Analytics","Data Validation means checking the accuracy and quality of source data before using, importing, or processing data.","data deduplication;data validation","",""
"1921","False","False","Fault Management","Functional Skills","Fault Management is the component of network management associated with identifying, isolating, and resolving faults that enables a network administrator to monitor on events from numerous systems.","fault management","",""
"1922","False","False","Netcat","Network Management & Administration","Netcat is a computer networking utility for reading from and writing to network connections.","netcat","",""
"1923","False","False","Nexus","Network Management & Administration","Nexus is a framework for developing and sustaining scaled product and software development initiatives for a scrum as its building block.","nexus;nexus payables","",""
"1924","False","False","OpenSceneGraph","Graphic Design and Animation","OpenSceneGraph is a high performance 3d graphics toolkit that is used for visual simulation, gaming, virtual reality, and scientific visualisation.","openscenegraph;openscenegraph git repository;openscenegraph documentation;openscenegraph viewer","",""
"1925","False","False","Oracle CRM","Customer Relationship Management","Oracle CRM is a software system that leverage enterprise data to drive profitable customer interactions.","oracle crm","",""
"1926","False","False","Pharmacovigilance","Clinical Research and Development","Pharmacovigilance is the science and activities relating to the detection, assessment, understanding and prevention of adverse effects or any other drug-related problem.","pharmacovigilance quality management;drug safety;pharmacovigilance;pharmacovigilance quality management system (qms);pharmacovigilance audit management;pharmacovigilance audit","",""
"1927","False","False","Product Strategy","Product Management","Product Strategy is an approach for producing and marketing a product  that describes what a company aims to achieve with its product and how product roadmaps bring the product to life.","product strategy;product strategies;product development strategy;product strategy framework;product strategy template","",""
"1928","False","False","Proxmox","Containers & Virtualization","Proxmox VE is a open-source server management platform for enterprise virtualization allows us to test, move and implement real services.","proxmox","",""
"1929","False","False","Symbian","Operating Systems","Symbian is a mobile operating system and computing platform designed for smartphones to developed as a proprietary software operating system","symbian","",""
"1930","False","False","ARIMA","Statistical & Mathematical Modelling","ARIMA is a statistical analysis model and a forecasting technique that is based on the premise that information in past temporal values may be used to anticipate future values.","arima","",""
"1931","False","False","Reconstruction","Civil Engineering","Reconstruction is the process of restoring or constructing something that has been damaged or destroyed.","reconstruction","",""
"1932","False","False","Hardware Security","Cybersecurity","Hardware Security is vulnerability protection that comes in the form of a physical device rather than software that is installed on the hardware of a computer system.","hardware security","",""
"1933","False","False","Maple","Software Development","Maple Software is a multi-paradigm programming language and a math software that combines the math engine with an interface that makes math analysis, visualisation, and exploration simple.","maple;Maple programming;Maple programming language","",""
"1934","False","False","Parasitology","Clinical Research and Development","Parasitology is the study of parasites and is traditionally limited to parasitic protozoa, helminths and arthropods.","parasitology","",""
"1935","False","False","Power Electronics Design","Electronic Systems Design","Power Electronics Design is the integration of component and system theory with practical applications, particularly energy-saving low-power applications.","power electronics design","",""
"1936","False","False","Procurement Strategy","Functional Skills","Procurement Strategy refers to a strategy for developing strategic connections with competing suppliers in order to purchase the essential goods and services of the highest quality at the lowest possible cost and  delivered on time.","procurement strategy;procurement strategies;strategic procurement","",""
"1937","False","False","RecSys","AI/ML","RecSys is the venue for the presentation of cutting-edge research findings, methods, and methodologies in the expansive subject of recommender systems.","recsys;recommender system;recsys github;recommendation system","",""
"1938","False","False","Securitization","Retail & Corporate Banking ","Securitization is the process of bundling certain types of assets in order to repackage them as interest-bearing securities.","securitization;securitizations","",""
"1939","False","False","Static Testing","Software Quality/Testing","Static Testing is a software testing approach used to detect flaws in software applications and involves the analysis of a programme and associated documentation without running the code.","static testing","",""
"1940","False","False","WinDbg","Software Development","WinDbg is the debugging tool in windows platform that is used to debug kernel mode and examine the central processing unit registers  while the code executes.","windbg","",""
"1941","False","False","Computational Science","Statistical & Mathematical Modelling","Computational Science is concerned with the design, implementation, and use of mathematical models to analyse and solve scientific problems.","computational science","",""
"1942","False","False","Constant Contact","Marketing & Web Analytics","Constant Contact is a user-friendly email marketing solution that is used to develop email marketing templates, automate and manage campaigns, build contact lists, and nurture client connections.","constant contact software","",""
"1943","False","False","Data Dictionary","Data Engineering And Analytics","Data Dictionary is a tool that provides information and insight specific to elements in a database. ","data dictionary","",""
"1944","False","False","Dropwizard","Web Development","Dropwizard is a java framework for developing ops-friendly, high-performance, restful web services.","dropwizard","",""
"1945","False","False","EMC Avamar","Cybersecurity","Dell EMC Avamar is a data backup and deduplication hardware and software solution which is part of the data protection suite that offers software and hardware protection and recovery for virtual environments.","emc avamar","",""
"1946","False","False","Adobe FrameMaker","Content Management","Adobe FrameMaker is a document processor designed for writing and editing large or complex documents and publishing multilingual technical content across mobile, web, desktop, and print. ","framemaker;adobe framemaker","",""
"1947","False","False","IATF 16949","Quality Management","IATF 16949 is a process-oriented quality management system that provides for continual improvement, defect prevention and reduction of variation and waste in the supply chain.","iatf 16949","",""
"1948","False","False","LTE","Telecommunication","LTE is a fourth-generation wireless broadband communication standard that improves network capacity and speed for cellphones, data terminals and other cellular devices over third generation technology.","lte","",""
"1949","False","False","PageMaker","UI/UX","Adobe PageMaker is an application that allows to create documents with a complex layout of text and graphics.","abode pagemaker;page maker;aldus pagemaker;pagemaker","",""
"1950","False","False","Portlets","Web Development","Portlets is a pluggable user interface software component that managed and displayed in a web portal.","portlets;portlet","",""
"1951","False","False","Precoro","Supply Chain Management","Precoro Software is a cloud-based platform server message blocks and enterprises in saving time and money by reducing manual effort.","precoro;procure synonyms;procure synonyms and antonyms","",""
"1952","False","False","Property & Casualty Insurance","Insurance Skills","Property and Casualty Insurance is a broad category of products that covers several general insurance plans.","property and casualty insurance;property and casualty insurance management","",""
"1953","False","False","Ratio Analysis","Accounting","Ratio Analysis is a quantitative method of gaining insight into a company's liquidity, operational efficiency, and profitability by studying its financial statements such as the balance sheet and income statement.","ratio analysis","",""
"1954","False","False","Software Design","Software Development","Software Design is a process to transform user requirements into some suitable form, which helps the programmer in software coding and implementation.","software design","",""
"1955","False","False","Sound Design","Video & Audio Production","Sound Design is the art of creating soundtracks for a variety of purposes by specifying, acquiring, or creating auditory elements through the use of audio production techniques.","sound designs;sound design","",""
"1956","False","False","Travis CI","Software Development","Travis CI is an open-source integration platform hosted distributed continuous integration tool that is used to test and deploy the projects.","travisci;travis ci","",""
"1957","False","False","Contract Pricing","Accounting","Contract Pricing is a method, strategy to price the services of work or delivery of a project.","contract pricing","",""
"1958","False","False","Data Link Layer","Cybersecurity","Data Link Layer is the second layer of the seven-layer open systems interconnection model of computer networking.","data link layer;data link layer 2;data link layer protocol","",""
"1959","False","False","Restructuring","Functional Skills","Restructuring is the corporate management term for the act of reorganizing the legal, ownership, operational, or other structures of a company for the purpose of making it more profitable, or better organized for its present needs","restructuring","",""
"1960","False","False","Document Processing","Functional Skills","Document Processing is a field of research and a set of production processes aimed at making an analog document digital.","document process;document processing","",""
"1961","False","False","Innovation Management","Project Management","Innovation Management is a combination of innovation processes, and change management and it refers to product, business process, marketing, and organizational innovation.","innovation management;innovationManagement;innovation management system","",""
"1962","False","False","ISO 22000","Environment, Health and Safety (EHS)","ISO 22000 is a food safety management system that specifies standards for any company in the food sector with the goal of improving overall food safety performance.","iso 22000","",""
"1963","False","False","Junos","Operating Systems","Junos Os is a operating system which is used in juniper networks network devices creates an environment for accelerating the deployment of services and applications over a single network.","junos network operating system;junos","",""
"1964","False","False","MaxDB","Database Skills","MaxDB database is a set of data with a regular structure comprised of the application data and the database catalog.","maxdb;max db","",""
"1965","False","False","Nintex","Project Management","Nintex Software is a intuitive and business process management and intelligent automation software for  process optimization and workflow to replace paper procedures and tedious, manual operations with clicks rather than coding.","nintex","",""
"1966","False","False","Process Development","Project Management","Process Development is the process of creating, implementing, or improving an established manufacturing process.","process development","",""
"1967","False","False","Quantitative Research","Market Research","Quantitative Research is the process of collecting and analyzing numerical data used to find patterns and averages, make predictions, test causal relationships.","quantitative research","",""
"1968","False","False","Sensitivity Analysis","Statistical & Mathematical Modelling","Sensitivity Analysis is a financial model that evaluates a mathematical model's sensitivity to its modelling assumptions and assigned to different sources of uncertainty in its inputs.","sensitivity analysis","",""
"1969","False","False","Server Troubleshooting","Database Skills","Server Troubleshooting is a systematic approach to problem-solving that is used to determine whether the physical layer is performing proper.","server troubleshoot;server troubleshooting","",""
"1970","False","False","Singleview","Cloud Deployment, Scaling And Management","Singleview is a single solution for real-time rating, charging and billing, reducing costs and increasing consistency across the organization","singleview","",""
"1971","False","False","Creative Management","Functional Skills","Creative Management is a system of techniques, practices, and instruments for managing employee creativity in order to get the maximum effect for the organization according to its goals and objectives.","creative management;creative management strategy;creative business management","",""
"1972","False","False","DBpedia","Database Skills","DBpedia is a crowd-sourced community effort to extract structured content from the information created across the internet.","dbpedia;db pedia;database pedia","",""
"1973","False","False","Dymola","Computer-Aided Design and Simulation","Dymola is a commercial modeling and simulation environment based on the open modeling language and used for automotive, aerospace, robotics, process and other applications.","dymola","",""
"1974","False","False","Gemfire","Data Engineering And Analytics","GemFire is a data management system that sits between application clusters and back-end data sources and computation grid with database capabilities, parallel message queues that are available.","gemfire","",""
"1975","False","False","GeoAccess","Data Engineering And Analytics","GoAccess is an open source real-time web log analyzer and interactive viewer that runs in a terminal.","geoaccess;geoaccess healthcare;geoaccess report","",""
"1976","False","False","Hyperspectral Imaging","Fiber Optics","Hyperspectral Imaging is the capture and processing of an image utilizing number of wavelengths, which is used in computer vision algorithms for data processing and mining.","hyperspectral images;hyperspectral imaging;hyperspectral imaging camera;hyperspectral imaging applications","",""
"1977","False","False","Law Enforcement","Functional Skills","Law Enforcement is the action of members of government who operate in an organised manner to enforce the law by detecting and discouraging who violate the laws and norms of that society.","law enforcement","",""
"1978","False","False","LTSpice","Electronic Systems Design","LTspice is a spice-based analogue electronic circuit simulator computer software that includes a graphical schematic capture interface for designing, probing, and analysing circuit performance.","ltspice","",""
"1979","False","False","Security Incident Response","IT Management/ Governance","Security Incident Response is a collection of information security policies and procedures for detecting, containing, and eliminating cyberattacks.","security incident response;incident response security","",""
"1980","False","False","SnagIt","Video & Audio Production","SnagIt is a screen capture and editing tool with the option to capture video and audio outputs that allows to take screenshots, edit images, and record screen recordings.","snagit","",""
"1981","False","False","System Analysis","Systems Engineering & Administration","Systems Analysis is a method of determining the fundamental elements of a project and determining how to combine them to solve a problem.","system analysis;analysis system","",""
"1982","False","False","Transcriptomics","Clinical Research and Development","Transcriptomics  is the study of an organism transcriptome which is the sum of of its ribonucleic acid transcripts.","transcriptomics","",""
"1983","False","False","CoffeeScript","Programming Languages and Algorithms","CoffeeScript is a programming language that compiles into javascript and aims at enhancing the brevity and readability of a rather syntactically hard language.","coffeescript","",""
"1984","False","False","Contract Management","Functional Skills","Contract Management  is the process of managing agreements, from their creation through to their execution by the chosen party, and to the eventual termination of the contract.","contact management system;contract management","",""
"1985","False","False","Enterprise Service Bus","Software Development","Enterprise Service Bus implements a communication system between mutually interacting software applications in a service-oriented architecture.","enterprise service bus","",""
"1986","False","False","Houdini","Graphic Design and Animation","Houdini is a 3d animation software for modeling that is used for the creation of visual effects in film and games.","houdini","",""
"1987","False","False","Hydraulics","Functional Skills","Hydraulics  is a technology and applied science using engineering, chemistry, and other sciences involving the mechanical properties and use of liquids.","hydraulics","",""
"1988","False","False","Immunology","Clinical Research and Development","Immunology is a branch of medicine and biology that covers the medical study of immune systems in humans, animals, plants and sapient species.","immunology","",""
"1989","False","False","JProfiler","Java & Associated IDEs & Frameworks","JProfiler is a java profiler that combines central processing unit, memory, and thread profiling into the application and allows the user to analyze a running java virtual machine.","jprofiler","",""
"1990","False","False","Logic Pro","Video & Audio Production","Logic Pro is a digital audio workstation software application for the mac operating system platform that is used in professional audio production.","logic pro;logic pro x;logic pro software;logic pro tools","",""
"1991","False","False","MySQL","Database Skills","MySQL works with an operating system to implement a relational database in a computer's storage system, manages users, allows for network access and facilitates testing database integrity and creation of backups.","rds mysql;mysql","",""
"1992","False","False","Preprocessors","Software Development","Preprocessor is a computer program that is designed to run on computers hardware and application programs and performs preprocessing of the High Level Language.","preprocessors;preprocessor","",""
"1993","False","False","Stash","Asset Management","Stash is a repository management system that can be used to manage git repositories, also it can be used to manage repositories of other version control systems like mercurial.","stash","",""
"1994","False","False","Traceroute","Network Management & Administration","Traceroute is defined as a network tool that provides a map of data on the internet travels from its source to its destination","traceroute","",""
"1995","False","False","WorkFusion","IoT &Industrial Automation","WorkFusion is an intelligent automation cloud platform that finds processes to be automated and automates them with intelligent bots and analytics.","workfusion","",""
"1996","False","False","Appian","Business Management","Appian is a low code development platform designed for businesses of sizes that enables users to build business process management applications.","appian","",""
"1997","False","False","ARINC429","Aerospace Engineering","ARINC429 is a technical standard for the predominant avionics data bus used on most higher-end commercial and transport aircraft","arinc429","",""
"1998","False","False","Commodity Pricing","Sales Skills","Commodity Pricing is the ability to set the sales price for commodity based end items using the market replacement cost of the main ingredient. ","commodity pricing","",""
"1999","False","False","Debt Management","Accounting","Debt Management is a way to get your debt under control through financial planning and budgeting","debt management","",""
"2000","False","False","Defect Tracking","Software Development","Defect Tracking is the method of tracking logged defects in a product from start to finish and then producing new versions of the product that correct the defects.","defect analysis;defect tracking;defect prevention","",""
"2001","False","False","Lighttpd","Software Development","Lighttpd is an open-source web server optimized for speed-critical environments while remaining standards-compliant, secure and flexible","lighttpd;lightt pd;lighttpd server","",""
"2002","False","False","Mockito","Software Quality/Testing","Mockito is a open source framework that is used to mock interfaces can be used in unit testing.","mockito","",""
"2003","False","False","MPLAB","Software Development","MPLAB is a proprietary freeware integrated development environment for the development of embedded applications on pic and dspic microcontrollers.","mplab","",""
"2004","False","False","NONMEM","Clinical Research and Development","NONMEM is a non-linear mixed-effects modelling software that requires a pre-defined input dataset in order to provide parameter estimates that result in predictions to the observed data.","nonmem","",""
"2005","False","False","POSIX","Software Development","POSIX is a standard operating system interfaces based on the unix operating system.","posix","",""
"2006","False","False","Refinance","Retail & Corporate Banking ","Refinance is the replacement of an existing debt obligation with another debt obligation under a different term and interest rate.","refinance","",""
"2007","False","False","SCORM","Learning & Development (L&D)","SCORM is a set of standards and specifications for web-based electronic educational technologies that define communications between client-side material and a host system.","scorm","",""
"2008","False","False","SmartBear","Software Quality/Testing","SmartBear Software is a developer of enterprise-class software development and testing tools that delivers for application performance monitoring and software testing.","smartbear","",""
"2009","False","False","Technical Product Management","IT Management/ Governance","Technical Product Management is a process of management that combines some of the most-sought after skills in one single position","technical product development;technical product management","",""
"2010","False","False","AKKA","JavaScript & Associated Libraries","AKKA is defined as a set of open-source libraries for designing scalable, resilient systems that span processor cores and networks","akka","",""
"2011","False","False","Anti Money Laundering","Functional Skills","Anti Money Laundering refers to the financial institutions perform to achieve compliance with legal requirements to actively monitor for and report suspicious activities.","anti money laundering;anti money laundering (aml) analysis","",""
"2012","False","False","Automation Anywhere","Software Development","Automation Anywhere is a developer of robotic process automation software, which employs software bots to complete processes","automation anywhere","",""
"2013","False","False","Class Actions","Legal Services","Class Actions is a type of lawsuit where one of the parties is a group of people who are represented collectively by a member of that group.","class actions;class action;classaction","",""
"2014","False","False","Content Filtering","Cybersecurity","Content Filtering is defined as the screening and exclusion of access to email or web pages that are undesirable. ","content filtering;web content filtering","",""
"2015","False","False","Equities","Asset Management","Equities is ownership of assets that consists of debts or other liabilities attached to them.","equities","",""
"2016","False","False","Google Analytics","Market Research","Google Analytics is a web analytics service that provides statistics and basic analytical tools for search engine optimization and marketing purposes.","google analytics","",""
"2017","False","False","ICD 503","Cybersecurity","ICD 503 is an intelligence community information technology system to provide guidance to the intelligence community for risk management and certification of information systems across the intelligence community.","icd 503;icd503","",""
"2018","False","False","Liability Analysis","Wealth Management & Advisory","Liability Analysis is an asset allocation decision need to be made with a clear and thorough understanding of the liability and the goals and objectives of the organization to be considered","liability analysis;asset liability analysis","",""
"2019","False","False","MobileIron","Cybersecurity","MobileIron is a software that provides unified endpoint and enterprise mobility management for mobile devices.","mobile iron;mobileiron","",""
"2020","False","False","Process Compliance","Software Development","Process Compliance is the regulation and maintenance of industry standards and guidelines relating to the execution of their business processes.","process compliance;business process compliance;pci compliance process","",""
"2021","False","False","RICEFW","SAP Skills","Ricefw stands for Reports, Interface, Conversion, Enhancements, Forms and Workflow, it is applicable to all modules, development of these items will be dealt separately in large projects.","ricefw","",""
"2022","False","False","StreamSets","Data Engineering And Analytics","StreamSets is a data integration platform dedicated to building the smart data pipelines needed to power dataops across hybrid and multi-cloud architectures.","streamsets;apache streamsets","",""
"2023","False","False","Threat Management","Cybersecurity","Threat Management is a framework used in cybersecurity professionals to manage the life cycle of a threat in an effort to identify and respond to it with speed and accuracy.","cyber threat management;threat management","",""
"2024","False","False","Ansible","Software Development","Ansible is open source information technology engine which automates application deployment, intra service orchestration, cloud provisioning and many other tools.","ansible","",""
"2025","False","False","AnyConnect","Web Development","AnyConnect is a modular endpoint software that offers security through various built-in modules that provide services such as compliance through the vpn with cisco identity services engine, web security.","anyconnect;cisco anyconnect","",""
"2026","False","False","AR Toolkit","Software Development","AR ToolKit is a computer tracking library for the creation of augmented reality applications that overlay virtual imagery","ar toolkit;artoolkit;artoolkitx;augmented reality toolkit","",""
"2027","False","False","Cash Handling","Accounting","Cash Handling is a method that focuses on preventing cash mishandling or loss, as well as scenarios in which accusations of cash mishandling might be brought against.","cash handle;cashhandling;cash handling","",""
"2028","False","False","Cheminformatics","Chemical Engineering","Cheminformaticsis to use ofphysical chemistrytheory withcomputerandinformationscience techniques so called in silico techniques in application to a range of descriptive and prescriptive problems in the field ofchemistry, including in its applications tobiologyandrelated molecular fields.","cheminformatics","",""
"2029","False","False","Corporate Governance","Business Management","Corporate Governance is the structure of rules, practices, and processes used to direct and manage a company.","corporate governance","",""
"2030","False","False","Credit Risk Management","Governance Risk & Compliance","Credit Risk Management is the technique of reducing losses by assessing the adequacy of a bank's capital and loan loss reserves at any one moment. it is a process that has long been difficult for financial institutions to master.","credit risk management","",""
"2031","False","False","Demodulation","Signal Processing","Demodulation is the process of separating the original information or signal from the modulated carrier.","demodulation","",""
"2032","False","False","Dragonchain","Network Security","Dragonchain is a blockchain platform for enterprises that provides hybrid blockchain platform for businesses to  deploy advanced applications, and integrate quantum-safe capabilities with existing systems.","dragonchain;dragon chain;dragonchain blockchain","",""
"2033","False","False","Enstratius","Cloud Deployment, Scaling And Management","Enstratius was a cloud computing infrastructure management platform intended to address governance issues associated with deploying systems in public, private and hybrid clouds.","enstratius;enstratus;enstratus cloud;enstratius cloud","",""
"2034","False","False","Escalation Management","Project Management","Escalation Management is a system or process that businesses employ to handle customer issues and other problems within a customer service department.","escalation management;escalation project management;customer escalation management","",""
"2035","False","False","FogBugz","Project Management","FogBugz is an integrated web based project management system featuring bug and issue tracking, discussion forums, wikis, customer relationship management.","fogbugz;fogbugz software;fogbugz bug tracking","",""
"2036","False","False","Gap Analysis","Functional Skills","Gap Analysis is defined as a method of assessing the differences between the actual performance and expected performance in an organization or a business.","gap analysis;business gap analysis","",""
"2037","False","False","Legal Liability","Legal Services","Legal Liability is a party's liability imposed by a court for its actions or inactions, for which the courts will award monetary damages to compensate for the injury.","legal liability","",""
"2038","False","False","Library Preparation","Clinical Research and Development","Library Preparation is the generation sequencing that allows ribonucleic acid to adhere to the sequencing flow cell and the sample to be identified.","library preparation","",""
"2039","False","False","PhantomJS","Software Development","PhantomJS is a discontinued headless browser used for automating web page interaction that provides a javascript api tool used to run browser-based unit tests in a headless system like a continuous integration environment.","phantomjs","",""
"2040","False","False","Phlebotomy","Healthcare","Phlebotomy is the process of making a puncture in a vein usually in the arm, with a cannula, for the purpose of drawing blood.","phlebotomy","",""
"2041","False","False","PSpice","Electronic Systems Design","PSpice simulation technology combines industry-leading, native analog and mixed-signal engines to deliver a complete circuit simulation and verification solution.","pspice","",""
"2042","False","False","Sound Forge","Video & Audio Production","Sound Forge is a professional audio editing platform for recording, editing and mastering audio that allows to edit and play back sound files. ","sound forge;sony sound forge;sound forge audio studio","",""
"2043","False","False","AlphaScreen","Clinical Research and Development","AlphaScreen stands for amplified luminescent proximity homogeneous assay screen that bead-based chemistry uses to study interactions between molecules in a microplate.","alphascreen;amplified luminescent proximity homogeneous assay;alphascreen based assays;alpha screen","",""
"2044","False","False","Equity Capital Markets","Wealth Management & Advisory","Equity Capital Market is a market between companies and financial institutions that is aimed at earning money for the company.","equity capital markets;equity markets;equity capital market;equity market","",""
"2045","False","False","FileMaker","UI/UX","FileMaker is a cross-platform relational database application that integrates a database engine with a graphical user interface and security features, allowing to modify the database by dragging new elements into layouts, screens, or forms","filemaker;filemaker pro","",""
"2046","False","False","Green Hills","Operating Systems","Green Hills Software is the embedded development solutions for a range of hardware and software platforms that builds operating systems and programming tools for embedded systems.","green hills;green hills software","",""
"2047","False","False","Hardware Verification","Systems Engineering & Administration","Hardware Verification is the process of checking that a given design correctly implements the specification","hardware verification","",""
"2048","False","False","Inventory Control","Functional Skills","Inventory control is the process of keeping the right number of parts and products in stock to avoid shortages, overstocks and other costly problems.","inventory control","",""
"2049","False","False","Mathematical Modeling","Statistical & Mathematical Modelling","Mathematical modeling is the art of translating problems from an application area into tractable mathematical formulations whose theoretical and numerical analysis provides insight, answers and guidance useful for the originating application.","mathematical modeling;mathematical model","",""
"2050","False","False","Sentry","Software Quality/Testing","Sentry is open-source error tracking and performance monitoring platform that helps developers to monitor, fix crashes in time. ","sentry","",""
"2051","False","False","User Stories","Product Management","User story in software development and product management, is an informal, natural language description of one or more features of a software system.","user stories;user story","",""
"2052","False","False","CLIST","Programming Languages and Algorithms","CLIST is a programming language that is used for time sharing processes in complex storage systems.","clist","",""
"2053","False","False","Flinto","IT Management/ Governance","Flinto is a comprehensive app prototyping tool that allows to create from simple tap-through prototypes, to comprehensive prototypes with impressive interactions.","flinto","",""
"2054","False","False","Immunoprecipitation","Clinical Research and Development","Immunoprecipitation is defined as the isolation of an antigen using a specific antibody coupled to a sedimentable matrix.","immunoprecipitation","",""
"2055","False","False","Material Analysis","Chemical Engineering","Material Analysis is an analytical instrument used to determine the physical and mechanical properties of raw materials and components from human hair to steel, composite materials, and ceramics.","material analysis","",""
"2056","False","False","Money Management","Functional Skills","Money management is the process of expense tracking, investing, budgeting, banking and evaluating taxes of money","money management","",""
"2057","False","False","Scaled Agile Framework","Agile/Scrum Methodologies","Scaled Agile Framework is a set of organization and workflow patterns intended to guide enterprises in scaling lean and agile practices.","scaled agile framework;scaled agile;scaled agile methodology","",""
"2058","False","False","Solution Management","Product Management","Solution Management is responsible for defining and supporting the building of desirable, feasible, viable and sustainable large scale business solutions that meet customer needs over time.","solution management;solution management framework;solution management agile","",""
"2059","False","False","Strategic Selling","Sales Skills","Strategic Selling is directing current sales activity toward the company's long-term performance goals.","strategic selling;strategic selling process;strategic selling model;strategic selling techniques","",""
"2060","False","False","Teller Operations","Retail & Corporate Banking ","Teller Operations is the activities undertaken by a bank teller is responsible for accurately processing routine bank transactions while dealing with a customer.","teller operations","",""
"2061","False","False","VTune","Software Development","VTune is a commercial application for software performance analysis that has both a graphical user interface and a command line for linux or microsoft windows operating systems.","vtune;vtune amplifier;vtune profiler;v tune profiler","",""
"2062","False","False","WebFOCUS","Cybersecurity","WebFOCUS is an information retrieval tool which enables users to gain access to numerous databases and file systems through a web browser.","webfocus","",""
"2063","False","False","WebStorm","Software Development","WebStorm is an integrated development environment for javascript and related technologies it is used to debug and test client-side and node.js apps as well as to work with version control.","webstorm","",""
"2064","False","False","Internal Communications","Functional Skills","Internal Communications is the processes or tools that are responsible for effective information flow and collaboration among participants within an organization. ","internal communications","",""
"2065","False","False","JConsole","Graphical User Interface (GUI)","JConsole is a graphical monitoring tool to monitor java virtual machines and Java applications on a local or remote machine using the underlying features of java virtual machine to provide information on the performance and resource consumption of applications running on the java platform using java management extensions technology.","java console;j console;jconsole","",""
"2066","False","False","Kotlin","Programming Languages and Algorithms","Kotlin is an open source programming language that blends object-oriented and functional programming characteristics. ","kotlin","",""
"2067","False","False","Mapbox","Software Development","Mapbox is the creator and a significant contributor to, open source mapping libraries and applications.","mapbox","",""
"2068","False","False","Netflow","Network Management & Administration","NetFlow is a network protocol system that collects active internet protocol network traffic as flows in or out of an interface. ","netflow;nextflow","",""
"2069","False","False","Safety Awareness","Environment, Health and Safety (EHS)","Safety Awareness refers to the knowlegde of proper safety measure to be undertaken in order to prevent accidents.","safety awareness;workplace safety awareness;workplace safety","",""
"2070","False","False","Security Configuration","DevOps","Security Configuration is a process that involves adjusting the default settings of an information system in order to increase security and mitigate risk. ","security configuration","",""
"2071","False","False","Sequence Analysis","Clinical Research and Development","Sequence Analysis is the process of subjecting a dna, rna or peptide sequence to a wide range of analytical methods to understand its features, function, structure, or evolution.","sequence analysis","",""
"2072","False","False","Benefits Administration","Human Resources Information System (HRIS)","Benefits Administration is the process of creating, updating and managing benefits for the employees of an organization, generally assigned to the human resources function.","benefits administration","",""
"2073","False","False","Cinematography","Functional Skills","Cinematography is the art of motion-picture photography and filming either electronically through an image sensor or chemically using a light-sensitive material such as film stock.","cinematography","",""
"2074","False","False","Data Pipelines","Data Engineering And Analytics","Data Pipeline is a set of tools and processes used to automate the movement and transformation of data between a source system and a target repository.","data pipelines","",""
"2075","False","False","FinTech","Wealth Management & Advisory","FinTech is the technology and innovation that aims to compete with traditional financial methods in the delivery of financial services.","fintech","",""
"2076","False","False","Global Label Management","Business Management","Global Label Management","global label management;sap global label management;sap glm;glm sap","",""
"2077","False","False","Motion Planning","AI/ML","Motion planning is computational problem to find a sequence of valid configurations that moves the object from the source to destination.","motion planning","",""
"2078","False","False","Performance Improvement","Business Management","Performance Improvement is defined as the study of systemic process of identifying the root causes of a performance issue in an organization.","performance improvement;employee performance improvement;performance improvement process;performance improvement plan;performance improvement techniques;performance improvement plan template","",""
"2079","False","False","RAID analysis","Governance Risk & Compliance","RAID Analysis is a project planning technique for identifying key project risks, assumptions, issues and dependencies.","raid analysis;raid framework;raid project management","",""
"2080","False","False","SketchUp","Graphic Design and Animation","SketchUp is a 3D modeling computer program for a wide range of drawing applications such as architectural, interior design, landscape architecture, civil and mechanical engineering, film and video game design.","sketchup","",""
"2081","False","False","Statistical Programming","Data Engineering And Analytics","Statistical Programming refers to computation techniques that support data analysis by using statistical concepts that compose a code and the programming language to perform this task.","statistical programming","",""
"2082","False","False","Antimalware","Cybersecurity","Antimalware is software tools and programs designed to identify and prevent malicious software from infecting computer systems.","antimalware;anti malware","",""
"2083","False","False","Corporate Communications","Functional Skills","Corporate Communication is a set of activities involved in managing and orchestrating all internal and external communications that aim to create a point of view among stakeholders on which the company depends.","corporate communications","",""
"2084","False","False","Fortinet","Cybersecurity","Fortinet is a network security solutions that protect network users and data from continually evolving threats. ","fortigate firewalls;fortigate;fortinet","",""
"2085","False","False","GIS tools","Spatial Analysis & Geographic Information Systems","GIS tools is a conceptualized framework that provides the ability to capture and analyze spatial and geographic data.","gis tools;geographic information system tool;geographic information system tools","",""
"2086","False","False","Record Keeping","Content Management","Record Keeping is the process of recording transactions and activities in an accounting system.","record keeping;record keeping management;information mangement","",""
"2087","False","False","Kalman filtering","Statistical & Mathematical Modelling","Kalman filtering is an algorithm that uses a series of measurements observed over time, containing statistical noise and other inaccuracies and produces estimates of unknown variables that tend to be more accurate than those based on a single measurement alone, by estimating a joint probability distribution over the variables for each timeframe.","kalman filtering;kalman filters;kalman filter algorithm","",""
"2088","False","False","Mirth","Clinical Research and Development","Mirth Connect is an open-source cross-platform interface engine that supports bi-directional sending of messages between system and application.","mirth","",""
"2089","False","False","Problem Analysis","Project Management","Problem Analysis investigates a situation or problem in order to allow the researcher to understand more about it and to recommend practical solutions for solving it.","problem analysis;problem analysis research;problems analysis ","",""
